id,lat,lon,status,install_year,geometry
SL_0947,37.279929,127.050398,정상,2013,POINT (127.050398 37.279929)
SL_0948,37.279904,127.050674,정상,2013,POINT (127.050674 37.279904)
SL_0949,37.279827,127.05126,정상,2013,POINT (127.05126 37.279827)
SL_0950,37.279983,127.050051,정상,2013,POINT (127.050051 37.279983)
SL_0951,37.279764,127.051785,정상,2013,POINT (127.051785 37.279764)
SL_0952,37.279949,127.051576,정상,2013,POINT (127.051576 37.279949)
SL_0953,37.280019,127.05101,정상,2013,POINT (127.05101 37.280019)
SL_0954,37.280089,127.050429,정상,2013,POINT (127.050429 37.280089)
SL_0955,37.280362,127.050474,정상,2013,POINT (127.050474 37.280362)
SL_0956,37.280821,127.050562,정상,2013,POINT (127.050562 37.280821)
SL_0957,37.281285,127.050652,정상,2013,POINT (127.050652 37.281285)
SL_0958,37.281452,127.050475,정상,2013,POINT (127.050475 37.281452)
SL_0959,37.281055,127.050404,정상,2013,POINT (127.050404 37.281055)
SL_0960,37.28063,127.050319,정상,2013,POINT (127.050319 37.28063)
SL_0961,37.279918,127.049721,정상,2013,POINT (127.049721 37.279918)
SL_0962,37.280202,127.050229,정상,2013,POINT (127.050229 37.280202)
SL_0963,37.279927,127.050184,정상,2013,POINT (127.050184 37.279927)
SL_0964,37.27954,127.050099,정상,2013,POINT (127.050099 37.27954)
SL_0965,37.279127,127.050022,정상,2013,POINT (127.050022 37.279127)
SL_0966,37.278729,127.049876,정상,2013,POINT (127.049876 37.278729)
SL_0967,37.279625,127.04967,정상,2013,POINT (127.04967 37.279625)
SL_0968,37.27935,127.049594,정상,2013,POINT (127.049594 37.27935)
SL_0969,37.279076,127.049504,정상,2013,POINT (127.049504 37.279076)
SL_0970,37.278794,127.049399,정상,2013,POINT (127.049399 37.278794)
SL_0971,37.278569,127.04932,정상,2013,POINT (127.04932 37.278569)
SL_0972,37.27715,127.050046,정상,2013,POINT (127.050046 37.27715)
SL_0973,37.277386,127.051143,정상,2013,POINT (127.051143 37.277386)
SL_0974,37.277766,127.051451,정상,2013,POINT (127.051451 37.277766)
SL_0975,37.27794,127.051239,정상,2013,POINT (127.051239 37.27794)
SL_0976,37.278205,127.051279,정상,2013,POINT (127.051279 37.278205)
SL_0977,37.278546,127.051336,정상,2013,POINT (127.051336 37.278546)
SL_0978,37.278674,127.051059,정상,2013,POINT (127.051059 37.278674)
SL_0979,37.278737,127.050611,정상,2013,POINT (127.050611 37.278737)
SL_0980,37.278237,127.050518,정상,2013,POINT (127.050518 37.278237)
SL_0981,37.276983,127.050266,정상,2013,POINT (127.050266 37.276983)
SL_0982,37.276791,127.050444,정상,2013,POINT (127.050444 37.276791)
SL_0983,37.276638,127.050596,정상,2013,POINT (127.050596 37.276638)
SL_0984,37.276469,127.050751,정상,2013,POINT (127.050751 37.276469)
SL_0985,37.276417,127.050906,정상,2013,POINT (127.050906 37.276417)
SL_0986,37.276512,127.051002,정상,2013,POINT (127.051002 37.276512)
SL_0987,37.276775,127.051038,정상,2013,POINT (127.051038 37.276775)
SL_0988,37.277081,127.051092,정상,2013,POINT (127.051092 37.277081)
SL_0989,37.2789,127.050501,정상,2013,POINT (127.050501 37.2789)
SL_0990,37.277154,127.050684,정상,2013,POINT (127.050684 37.277154)
SL_0991,37.276865,127.050647,정상,2013,POINT (127.050647 37.276865)
SL_0992,37.277356,127.050858,정상,2013,POINT (127.050858 37.277356)
SL_0993,37.277746,127.0508,정상,2013,POINT (127.0508 37.277746)
SL_0994,37.277825,127.05045,정상,2013,POINT (127.05045 37.277825)
SL_0995,37.278566,127.05042,정상,2013,POINT (127.05042 37.278566)
SL_0996,37.278318,127.050326,정상,2013,POINT (127.050326 37.278318)
SL_0997,37.277864,127.049971,정상,2013,POINT (127.049971 37.277864)
SL_0998,37.277647,127.049762,정상,2013,POINT (127.049762 37.277647)
SL_0999,37.277454,127.049644,정상,2013,POINT (127.049644 37.277454)
SL_1000,37.277557,127.049934,정상,2013,POINT (127.049934 37.277557)
SL_1001,37.277449,127.050252,정상,2013,POINT (127.050252 37.277449)
SL_1002,37.277402,127.050517,정상,2013,POINT (127.050517 37.277402)
SL_1003,37.265146,127.062471,정상,2014,POINT (127.062471 37.265146)
SL_1004,37.266156,127.064676,정상,2014,POINT (127.064676 37.266156)
SL_1005,37.266242,127.064901,정상,2014,POINT (127.064901 37.266242)
SL_1006,37.266325,127.065129,정상,2014,POINT (127.065129 37.266325)
SL_1007,37.266408,127.065361,정상,2014,POINT (127.065361 37.266408)
SL_1008,37.266485,127.065564,정상,2014,POINT (127.065564 37.266485)
SL_1009,37.266548,127.065736,정상,2014,POINT (127.065736 37.266548)
SL_1010,37.266638,127.065981,정상,2014,POINT (127.065981 37.266638)
SL_1011,37.266744,127.06628,정상,2014,POINT (127.06628 37.266744)
SL_1012,37.266831,127.066531,정상,2014,POINT (127.066531 37.266831)
SL_1013,37.266941,127.066841,정상,2014,POINT (127.066841 37.266941)
SL_1014,37.265295,127.062713,정상,2014,POINT (127.062713 37.265295)
SL_1015,37.267022,127.067072,정상,2014,POINT (127.067072 37.267022)
SL_1016,37.267101,127.067298,정상,2014,POINT (127.067298 37.267101)
SL_1017,37.267202,127.067577,정상,2014,POINT (127.067577 37.267202)
SL_1018,37.267315,127.067878,정상,2014,POINT (127.067878 37.267315)
