id,lat,lon,status,install_year,geometry,dong_name
SL_4216,37.24435,127.058117,정상,2002,POINT (205156.49086929337 516132.4853017299),망포동
SL_4217,37.244273,127.058252,정상,2002,POINT (205168.47414314593 516123.9470308046),망포동
SL_4218,37.244116,127.058185,정상,2002,POINT (205162.54020135492 516106.51916339155),망포동
SL_4219,37.243927,127.058055,정상,2002,POINT (205151.01864322173 516085.5364394583),망포동
SL_4220,37.243589,127.057885,정상,2002,POINT (205135.95806790466 516048.0152090468),망포동
SL_4221,37.243337,127.057902,정상,2002,POINT (205137.48353089875 516020.0486104519),망포동
SL_4222,37.245446,127.056546,정상,2002,POINT (205017.02960489126 516254.03743756947),영통동
SL_4223,37.243275,127.05487,정상,2002,POINT (204868.46656303035 516013.00748602743),망포동
SL_4224,37.243284,127.054544,정상,2002,POINT (204839.54088770226 516013.9896114712),망포동
SL_4225,37.243338,127.054138,정상,2002,POINT (204803.51418106613 516019.961974411),망포동
SL_4226,37.24342,127.053794,정상,2002,POINT (204772.9868442553 516029.0451181035),망포동
SL_4227,37.243654,127.053389,정상,2002,POINT (204737.03771132333 516054.9946171816),망포동
SL_4228,37.243852,127.053073,정상,2002,POINT (204708.987706089 516076.9533337881),망포동
SL_4229,37.244019,127.053028,정상,2002,POINT (204704.98462658486 516095.48512924934),망포동
SL_4230,37.244271,127.053265,정상,2002,POINT (204725.99705434527 516123.4644577115),망포동
SL_4231,37.244474,127.05326,정상,2002,POINT (204725.54074896366 516145.9936030145),망포동
SL_4232,37.244789,127.053181,정상,2002,POINT (204718.51176471816 516180.94906996057),망포동
SL_4233,37.245157,127.056483,정상,2002,POINT (205011.45908193573 516221.9602275458),망포동
SL_4234,37.245073,127.053125,정상,2002,POINT (204713.5254479289 516212.4652396347),망포동
SL_4235,37.245339,127.053057,정상,2002,POINT (204707.4755896151 516241.9831363004),망포동
SL_4236,37.24491,127.056213,정상,2002,POINT (204987.51958367048 516194.5333517772),망포동
SL_4237,37.244694,127.056032,정상,2002,POINT (204971.4744776226 516170.5516652806),망포동
SL_4238,37.244441,127.055829,정상,2002,POINT (204953.47973187166 516142.462516033),망포동
SL_4239,37.244158,127.055621,정상,2002,POINT (204935.04319060745 516111.0436788591),망포동
SL_4240,37.243941,127.055496,정상,2002,POINT (204923.96652498646 516086.95402490854),망포동
SL_4241,37.243635,127.055333,정상,2002,POINT (204909.52395137874 516052.9849968412),망포동
SL_4242,37.243293,127.055197,정상,2002,POINT (204897.47922552426 516015.0220318929),망포동
SL_4243,37.237596,127.060236,정상,2000,POINT (205344.97824865865 515383.02917580557),망포동
SL_4244,37.237871,127.060197,정상,2000,POINT (205341.49822064798 515413.54705788346),망포동
SL_4245,37.23783,127.060445,정상,2000,POINT (205363.50706748676 515409.0108103456),망포동
SL_4246,37.238069,127.060293,정상,2000,POINT (205350.0026568676 515435.52693853417),망포동
SL_4247,37.238042,127.060513,정상,2000,POINT (205369.52592108483 515432.54287468456),망포동
SL_4248,37.238303,127.06031,정상,2000,POINT (205351.49458289513 515461.4977172585),망포동
SL_4249,37.238506,127.060344,정상,2000,POINT (205354.49715076067 515484.0290123625),망포동
SL_4250,37.23706,127.059255,정상,2004,POINT (205257.96746184904 515323.48783718725),망포동
SL_4251,37.235404,127.055828,정상,2004,POINT (204953.98239449106 515139.5166969806),망포동
SL_4252,37.235291,127.055467,정상,2004,POINT (204921.9558545571 515126.9568969904),망포동
