year,month,day,hour,day_night,day_of_week,city,district,accident_type,lon,lat,datetime
2016,07,23,03,야간,토,경기,수원시,차대사람,127.0119854,37.29925374,2016-07-23 03:00:00
2016,08,13,22,야간,토,경기,수원시,차대사람,126.98212076,37.25119986,2016-08-13 22:00:00
2016,08,19,08,주간,금,경기,수원시,차대차,127.00200264,37.26457171,2016-08-19 08:00:00
2016,07,31,10,주간,일,경기,수원시,차대차,127.00940398,37.29540315,2016-07-31 10:00:00
2016,07,24,21,야간,일,경기,수원시,차대사람,127.00792553,37.29719979,2016-07-24 21:00:00
2016,07,16,21,야간,토,경기,수원시,차대사람,127.01648534,37.28194749,2016-07-16 21:00:00
2016,06,25,02,야간,토,경기,수원시,차대사람,127.00181949,37.30605292,2016-06-25 02:00:00
2016,02,22,20,야간,월,경기,수원시,차대사람,127.05979035,37.27057862,2016-02-22 20:00:00
2016,02,06,19,야간,토,경기,수원시,차대사람,127.00331302,37.30201197,2016-02-06 19:00:00
2016,01,13,06,주간,수,경기,수원시,차대차,126.95062952,37.28962845,2016-01-13 06:00:00
2016,02,03,21,야간,수,경기,수원시,차대차,126.98211985,37.32047164,2016-02-03 21:00:00
2016,09,17,09,주간,토,경기,수원시,차대차,127.01658762,37.27653956,2016-09-17 09:00:00
2016,10,10,08,주간,월,경기,수원시,차대사람,127.01825983,37.28318062,2016-10-10 08:00:00
2016,09,29,11,주간,목,경기,수원시,차대사람,127.0447707,37.2643022,2016-09-29 11:00:00
2016,10,25,01,야간,화,경기,수원시,차대사람,127.02181064,37.29073065,2016-10-25 01:00:00
2016,09,20,01,야간,화,경기,수원시,차대차,126.96009262,37.2662629,2016-09-20 01:00:00
2016,09,01,22,야간,목,경기,수원시,차대사람,127.02117488,37.27533231,2016-09-01 22:00:00
2016,10,09,18,야간,일,경기,수원시,차대사람,126.98113373,37.27509147,2016-10-09 18:00:00
2016,12,24,01,야간,토,경기,수원시,차대사람,127.03238112,37.26349674,2016-12-24 01:00:00
2016,09,29,01,야간,목,경기,수원시,차량단독,126.96932735,37.28392864,2016-09-29 01:00:00
2016,12,01,21,야간,목,경기,수원시,차량단독,126.99401493,37.27005436,2016-12-01 21:00:00
2016,10,29,03,야간,토,경기,수원시,차대사람,127.02175882,37.25612597,2016-10-29 03:00:00
2016,09,22,09,주간,목,경기,수원시,차대사람,126.96988288,37.29672003,2016-09-22 09:00:00
2016,01,01,04,야간,금,경기,수원시,차대차,127.02299112,37.23058533,2016-01-01 04:00:00
2016,11,10,04,야간,목,경기,수원시,차대사람,127.02899528,37.29177172,2016-11-10 04:00:00
2016,12,11,10,주간,일,경기,수원시,차대차,126.98883256,37.29753351,2016-12-11 10:00:00
2016,12,25,21,야간,일,경기,수원시,차대사람,127.00225544,37.26386067,2016-12-25 21:00:00
2016,09,28,06,주간,수,경기,수원시,차대사람,126.99835931,37.2969433,2016-09-28 06:00:00
2016,04,07,19,야간,목,경기,수원시,차대사람,127.0504363,37.29965843,2016-04-07 19:00:00
2016,02,04,10,주간,목,경기,수원시,차대사람,127.024097,37.29313756,2016-02-04 10:00:00
2017,01,04,00,야간,수,경기,수원시,차대사람,126.96352645,37.24485239,2017-01-04 00:00:00
2017,01,06,23,야간,금,경기,수원시,차대사람,127.02192621,37.25640607,2017-01-06 23:00:00
2017,01,10,09,주간,화,경기,수원시,차대차,126.9799586,37.28522695,2017-01-10 09:00:00
2017,01,10,18,야간,화,경기,수원시,차대사람,126.9994497,37.26859918,2017-01-10 18:00:00
2017,01,25,00,야간,수,경기,수원시,차대차,127.01671862,37.2807496,2017-01-25 00:00:00
2017,01,26,05,야간,목,경기,수원시,차대사람,127.01358676,37.29413143,2017-01-26 05:00:00
2017,02,04,19,야간,토,경기,수원시,차대차,126.96763716,37.24712442,2017-02-04 19:00:00
2017,02,16,05,야간,목,경기,수원시,차량단독,127.00361512,37.31270008,2017-02-16 05:00:00
2017,02,28,09,주간,화,경기,수원시,차대사람,126.97151124,37.30587638,2017-02-28 09:00:00
2017,03,02,06,주간,목,경기,수원시,차대사람,127.00943813,37.28666883,2017-03-02 06:00:00
2017,03,11,00,야간,토,경기,수원시,차대사람,127.02585553,37.26460654,2017-03-11 00:00:00
2017,03,24,00,야간,금,경기,수원시,차대사람,127.04023715,37.25313441,2017-03-24 00:00:00
2017,04,03,02,야간,월,경기,수원시,차대사람,126.99782997,37.31546456,2017-04-03 02:00:00
2017,04,10,22,야간,월,경기,수원시,차대차,127.02891309,37.29192553,2017-04-10 22:00:00
2017,04,16,09,주간,일,경기,수원시,차대차,126.98314255,37.28648482,2017-04-16 09:00:00
2017,04,19,02,야간,수,경기,수원시,차대차,127.03834145,37.28290009,2017-04-19 02:00:00
2017,04,22,21,야간,토,경기,수원시,차대사람,126.99403386,37.30934601,2017-04-22 21:00:00
