SIGNGU,TYPE,AREA_ID,GOMTR_TYPE,PXL_CRDNT,PLAC_CNT
수원시,Feature,다사50ab17bb,Polygon,"[[[126.93896710945353, 37.257313004540826], [126.93895039626408, 37.25956640516674], [126.941769618549, 37.25957973117977], [126.9417862477669, 37.257326329473], [126.93896710945353, 37.257313004540826]]]",0
수원시,Feature,다사50ab18aa,Polygon,"[[[126.93895039626408, 37.25956640516674], [126.93893368121464, 37.26181980492649], [126.94175298748047, 37.26183313202044], [126.941769618549, 37.25957973117977], [126.93895039626408, 37.25956640516674]]]",1
수원시,Feature,다사50ab18ab,Polygon,"[[[126.93893368121464, 37.26181980492649], [126.93891696430498, 37.26407320382004], [126.9417363545611, 37.264086531994984], [126.94175298748047, 37.26183313202044], [126.93893368121464, 37.26181980492649]]]",1
수원시,Feature,다사50ab18ba,Polygon,"[[[126.93891696430498, 37.26407320382004], [126.93890024553492, 37.26632660184739], [126.94171971979064, 37.266339931103374], [126.9417363545611, 37.264086531994984], [126.93891696430498, 37.26407320382004]]]",0
수원시,Feature,다사50ab18bb,Polygon,"[[[126.93890024553492, 37.26632660184739], [126.93888352490421, 37.268579999008516], [126.94170308316889, 37.26859332934559], [126.94171971979064, 37.266339931103374], [126.93890024553492, 37.26632660184739]]]",2
수원시,Feature,다사50ab19aa,Polygon,"[[[126.93888352490421, 37.268579999008516], [126.93886680241263, 37.27083339530337], [126.94168644469563, 37.270846726721636], [126.94170308316889, 37.26859332934559], [126.93888352490421, 37.268579999008516]]]",1
수원시,Feature,다사50ab19ab,Polygon,"[[[126.93886680241263, 37.27083339530337], [126.93885007806003, 37.27308679073198], [126.94166980437065, 37.273100123231465], [126.94168644469563, 37.270846726721636], [126.93886680241263, 37.27083339530337]]]",1
수원시,Feature,다사50ab19ba,Polygon,"[[[126.93885007806003, 37.27308679073198], [126.9388333518461, 37.27534018529429], [126.94165316219372, 37.27535351887509], [126.94166980437065, 37.273100123231465], [126.93885007806003, 37.27308679073198]]]",2
수원시,Feature,다사50ab19bb,Polygon,"[[[126.9388333518461, 37.27534018529429], [126.93881662377066, 37.2775935789903], [126.94163651816464, 37.27760691365246], [126.94165316219372, 37.27535351887509], [126.9388333518461, 37.27534018529429]]]",1
수원시,Feature,다사50ab20aa,Polygon,"[[[126.93881662377066, 37.2775935789903], [126.93879989383349, 37.279846971819985], [126.94161987228321, 37.27986030756357], [126.94163651816464, 37.27760691365246], [126.93881662377066, 37.2775935789903]]]",0
수원시,Feature,다사50ab20ab,Polygon,"[[[126.93879989383349, 37.279846971819985], [126.9387831620344, 37.28210036378333], [126.94160322454917, 37.28211370060839], [126.94161987228321, 37.27986030756357], [126.93879989383349, 37.279846971819985]]]",0
수원시,Feature,다사50ab20ba,Polygon,"[[[126.9387831620344, 37.28210036378333], [126.93876642837313, 37.28435375488031], [126.94158657496232, 37.28436709278692], [126.94160322454917, 37.28211370060839], [126.9387831620344, 37.28210036378333]]]",1
수원시,Feature,다사50ab20bb,Polygon,"[[[126.93876642837313, 37.28435375488031], [126.93874969284947, 37.28660714511089], [126.94156992352247, 37.28662048409914], [126.94158657496232, 37.28436709278692], [126.93876642837313, 37.28435375488031]]]",1
수원시,Feature,다사50ab21aa,Polygon,"[[[126.93874969284947, 37.28660714511089], [126.93873295546325, 37.28886053447508], [126.94155327022933, 37.288873874545], [126.94156992352247, 37.28662048409914], [126.93874969284947, 37.28660714511089]]]",0
수원시,Feature,다사50ab21ab,Polygon,"[[[126.93873295546325, 37.28886053447508], [126.93871621621419, 37.291113922972855], [126.94153661508277, 37.29112726412451], [126.94155327022933, 37.288873874545], [126.93873295546325, 37.28886053447508]]]",3
수원시,Feature,다사50ab21ba,Polygon,"[[[126.93871621621419, 37.291113922972855], [126.93869947510208, 37.29336731060419], [126.94151995808252, 37.29338065283766], [126.94153661508277, 37.29112726412451], [126.93871621621419, 37.291113922972855]]]",1
수원시,Feature,다사50ab21bb,Polygon,"[[[126.93869947510208, 37.29336731060419], [126.93868273212676, 37.29562069736905], [126.9415032992284, 37.295634040684384], [126.94151995808252, 37.29338065283766], [126.93869947510208, 37.29336731060419]]]",3
수원시,Feature,다사50ab22aa,Polygon,"[[[126.93868273212676, 37.29562069736905], [126.93866598728795, 37.297874083267445], [126.94148663852019, 37.29788742766472], [126.9415032992284, 37.295634040684384], [126.93868273212676, 37.29562069736905]]]",0
수원시,Feature,다사50ab22ab,Polygon,"[[[126.93866598728795, 37.297874083267445], [126.93864924058548, 37.300127468299344], [126.9414699759576, 37.30014081377861], [126.94148663852019, 37.29788742766472], [126.93866598728795, 37.297874083267445]]]",0
수원시,Feature,다사50ab22ba,Polygon,"[[[126.93864924058548, 37.300127468299344], [126.93863249201907, 37.302380852464715], [126.94145331154051, 37.30239419902605], [126.9414699759576, 37.30014081377861], [126.93864924058548, 37.300127468299344]]]",0
수원시,Feature,다사50ba17ba,Polygon,"[[[126.94180287513434, 37.255072926900134], [126.9417862477669, 37.257326329473], [126.94460538793068, 37.25733958728608], [126.94462193133569, 37.255086183637864], [126.94180287513434, 37.255072926900134]]]",0
수원시,Feature,다사50ba17bb,Polygon,"[[[126.9417862477669, 37.257326329473], [126.941769618549, 37.25957973117977], [126.9445888426846, 37.259592990068256], [126.94460538793068, 37.25733958728608], [126.9417862477669, 37.257326329473]]]",0
